f dar	à la maison	l dar	à la maison
fel khemda	au travail	l khedma	au travail
berra	dehors	berra	dehors
lberra	à l'extérieur	lberra	à l'extérieur
dekhel	dedans	dekhel	dedans
ldekhel	à l'interieur	ldekhel	à l'interieur
3andi	chez moi	3andi	chez moi
3andek	chez toi	3andek	chez toi
3andou	chez lui	3andou	chez lui
3andha	chez elle	3andha	chez elle
3and Redouane	chez Redouane	3and Redouane	chez Redouane
3andna	chez nous	3andna	chez nous
3andkoum	chez vous	3andkoum	chez vous
3andhoum	chez eux	3andhoum	chez eux
fel 7ouma	au quartier	lel 7ouma	au quartier
fel mdina	dans la ville	lel mdina	dans la ville
fel 7anout	au magasin	lel 7anout	au magasin
hna	ici
lfou9	en haut	lfou9	en haut
lte7t	en bas	lte7t	en bas
9addam	devant	9addam	devant
melor	derrière	melor	derrière
f tri9	sur la route
f lemsid	à l'école	lemsid	à l'école
f sbital	à l'hôpital	lsbital	à l'hôpital
